file_name,score
0.pkl,3.2367978655426265e-06
1.pkl,1.5605767174579997e-06
10.pkl,2.805557301165257e-06
10001.pkl,0.0004751419367542062
10002.pkl,6.035896805319039e-05
10004.pkl,1.6719666158279944e-06
10008.pkl,4.164592129252369e-06
10014.pkl,1.411249717902055e-06
10018.pkl,1.5444437119234201e-06
10019.pkl,1.4745201717729466e-06
1002.pkl,1.5373137957215514e-06
10022.pkl,8.498913759423276e-06
10023.pkl,3.156677146285677e-06
10026.pkl,1.5786263521324271e-06
10027.pkl,2.039673651472145e-06
10028.pkl,0.00015046577678536
10029.pkl,1.7076078564036054e-06
1003.pkl,1.2533967717620965e-06
10030.pkl,7.1191429799576905e-06
10031.pkl,5.0346736661322724e-05
10032.pkl,1.935333068872495e-06
10033.pkl,1.3260467834419817e-06
10034.pkl,1.304327909417522e-06
10035.pkl,0.7395123391250245
10037.pkl,2.1654489117538446e-06
10038.pkl,8.938670988796655e-05
1004.pkl,3.0803851989722008e-06
10041.pkl,2.02130001017883e-06
10042.pkl,1.6053068488250581e-06
10044.pkl,7.286792833464929e-06
10045.pkl,4.4932088348416524e-05
10047.pkl,7.086413735702143e-05
10048.pkl,1.4150260951472242e-06
1005.pkl,1.4994894215064205e-06
10052.pkl,1.4889501929845875e-06
10053.pkl,1.3162470420984013e-06
10054.pkl,2.4425951490996714e-06
10055.pkl,0.03969124696209015
10056.pkl,1.847990760009395e-05
10058.pkl,2.612467927201445e-06
1006.pkl,1.8446840631446084e-06
10062.pkl,5.828432130047043e-06
10063.pkl,2.2491487070424304e-06
10064.pkl,7.000829464683257e-06
10066.pkl,1.5214832663872622e-06
10067.pkl,2.125793514141161e-06
10068.pkl,3.379838763686885e-06
1007.pkl,5.13418751798377e-06
10070.pkl,1.2941610110259575e-06
10072.pkl,3.5101541489963465e-05
10073.pkl,1.8877943295655936e-06
10074.pkl,4.927835859189258e-05
10075.pkl,1.3027541784716515e-06
10077.pkl,1.4338243593565809e-06
10078.pkl,1.605972806513371e-06
1008.pkl,1.9893917761771203e-06
10081.pkl,3.3295960135838e-06
10083.pkl,2.8718422692795976e-06
10085.pkl,1.6801603593137127e-06
10086.pkl,1.3250482768234058e-06
10089.pkl,1.5653797121681796e-06
1009.pkl,0.033458797595044616
10090.pkl,1.2863793479699127e-06
10093.pkl,1.567355824594133e-06
10095.pkl,4.684395689877755e-06
10097.pkl,7.181315932767991e-06
101.pkl,1.2599968753584472e-06
1010.pkl,1.4287722405754571e-06
10101.pkl,1.0579966476100842e-05
10102.pkl,1.8248525745397557e-06
10103.pkl,1.5629251337259412e-06
10105.pkl,9.685272550527111e-06
10107.pkl,2.1877347418156177e-06
1011.pkl,1.2781605713347026e-06
10111.pkl,1.6472285360094534e-06
10112.pkl,0.7395550709453622
10113.pkl,2.0479109057026418e-06
10114.pkl,1.4212546685645358e-06
10116.pkl,0.251010296444517
10118.pkl,2.012682806887279e-06
10119.pkl,6.9542921317261325e-06
10120.pkl,5.113623057147587e-06
10122.pkl,1.4083615449174444e-06
10124.pkl,1.6613378395393379e-06
10125.pkl,2.149880616700129e-06
10127.pkl,3.15675370670075e-05
10128.pkl,1.5338174690942834e-06
10129.pkl,1.815103754780652e-06
10130.pkl,0.00019061462931779
10131.pkl,1.9375107266229934e-06
10132.pkl,8.061407058882366e-06
10133.pkl,0.00025710433761922996
10136.pkl,2.0943434426823886e-05
10138.pkl,3.172759462073151e-06
10139.pkl,1.373713190486716e-06
10141.pkl,1.9319981348725774e-06
10142.pkl,5.234620306454016e-06
10143.pkl,1.8993732145405074e-06
10144.pkl,1.545467991856644e-06
10145.pkl,1.6960857826492834e-06
10146.pkl,1.599507160310808e-06
10148.pkl,8.460005688492172e-06
10149.pkl,0.7397780937493547
1015.pkl,6.538573920986687e-05
10150.pkl,4.902032678519718e-06
10151.pkl,0.1727198211559254
10152.pkl,4.03421236658092e-05
10156.pkl,2.0911084856515224e-06
10158.pkl,1.3293033192626715e-06
1016.pkl,1.413141612908105e-06
10160.pkl,4.896104401942197e-06
10164.pkl,7.687920227608032e-06
10165.pkl,8.197854308578706e-06
10167.pkl,1.669670797720754e-06
10168.pkl,2.2104775028232286e-05
10169.pkl,1.5402511591471343e-06
1017.pkl,8.128493225021793e-06
10171.pkl,2.2848697668607686e-06
10173.pkl,1.3001940539951787e-05
10174.pkl,8.133152552278013e-06
10175.pkl,7.76462232771403e-06
10177.pkl,2.146504597696573e-05
10178.pkl,0.00121109541480972
10179.pkl,1.6328770956814334e-06
1018.pkl,1.5577149349679694e-06
10180.pkl,2.319570363008655e-06
10185.pkl,1.5409705552614184e-05
10186.pkl,3.3583133537023743e-06
10187.pkl,7.066340388338608e-06
1019.pkl,2.0964362197439335e-06
10191.pkl,2.0178013544022047e-06
10193.pkl,0.0006180791945067
10194.pkl,4.488209562102287e-06
10195.pkl,0.000581018529919576
10196.pkl,2.769914866999e-06
10197.pkl,1.6456652218439588e-06
10199.pkl,7.708596436394835e-06
102.pkl,8.140633717567773e-06
1020.pkl,3.9046079160149984e-05
10202.pkl,1.415901182927384e-05
10203.pkl,1.7042525102382852e-06
10207.pkl,3.1147507906107385e-06
10209.pkl,4.111604195905357e-06
10210.pkl,3.939227190996608e-06
10212.pkl,2.2467746608016174e-06
10213.pkl,0.739490828781715
10214.pkl,1.657149465162092e-06
10215.pkl,0.017037793454468958
10216.pkl,5.2021749891613426e-06
10217.pkl,2.1814900794225495e-06
10218.pkl,5.577795308390686e-06
10219.pkl,1.4006729357071239e-05
1022.pkl,3.1513412759439167e-06
10223.pkl,1.454594873355482e-06
10225.pkl,7.648257436586404e-05
10226.pkl,6.95009196368116e-05
10227.pkl,1.6021038375144166e-06
10228.pkl,9.262065072389763e-06
10229.pkl,1.7461610093894262e-06
1023.pkl,6.249589754650487e-05
10231.pkl,7.6100868679286015e-06
10232.pkl,1.4099028396880013e-06
10239.pkl,1.2795885604751294e-06
1024.pkl,1.349800482676291e-06
10240.pkl,1.3903649692073857e-05
10241.pkl,1.484310618216122e-06
10243.pkl,0.0901559674611654
10244.pkl,1.4454994511206946e-06
10247.pkl,0.007162201324784909
10248.pkl,1.7968425687432953e-06
1025.pkl,0.0004697787151815468
10251.pkl,1.405625964609942e-06
10256.pkl,8.65208297160208e-06
10258.pkl,1.3739968542144318e-06
10260.pkl,1.4000484813827073e-05
10265.pkl,0.0013905271278922499
10266.pkl,0.0002955493505388665
10267.pkl,1.3424608340257276e-06
10270.pkl,7.5542389560506414e-06
10271.pkl,3.3941344653072995e-06
10273.pkl,1.5486270845574087e-06
10274.pkl,0.0001264494051747318
10275.pkl,3.925741666529042e-06
10276.pkl,1.5290637678012877e-06
10277.pkl,1.770196621842713e-06
10280.pkl,6.120605452624712e-06
10282.pkl,3.575409365886601e-05
10283.pkl,2.804261582759519e-05
10284.pkl,5.786274550880121e-06
10285.pkl,1.5033511062149259e-06
10289.pkl,2.04422885275881e-06
10290.pkl,2.168941070036481e-06
10294.pkl,1.6605501286996862e-06
10295.pkl,9.994383019119652e-06
10296.pkl,1.514062865504751e-06
10297.pkl,2.0489465075650974e-06
10298.pkl,4.956629100023939e-06
10299.pkl,0.001717620682914482
103.pkl,6.516699284491295e-05
1030.pkl,2.6810631717615004e-06
10302.pkl,9.418101798697988e-06
10303.pkl,0.06527285473230794
10305.pkl,0.000127770240905744
10307.pkl,1.1152070268607784e-05
10308.pkl,1.4875559217790124e-06
10309.pkl,1.3437657974632424e-06
10310.pkl,1.9648909515750358e-05
10311.pkl,1.6004130906947286e-06
10313.pkl,2.110200748748153e-06
10315.pkl,1.4038394262687963e-06
10319.pkl,6.46314271976887e-05
1032.pkl,1.4164711383126621e-06
10320.pkl,1.9586403924834857e-06
10321.pkl,3.969643147858368e-06
10322.pkl,3.3131425038909328e-06
10324.pkl,4.834118102514032e-06
10325.pkl,5.893901567915371e-06
10326.pkl,1.1191301205713862e-05
1033.pkl,1.319424344153803e-06
10332.pkl,1.641744499937147e-05
10337.pkl,1.5658329456368615e-06
10338.pkl,1.35515248128132e-06
1034.pkl,2.1980996874383586e-06
10342.pkl,1.4543351520708745e-05
10344.pkl,8.913123779672635e-05
10345.pkl,3.420045319734141e-06
10346.pkl,1.3986120332936347e-06
10347.pkl,1.0401437322342462e-05
10348.pkl,1.2988076408799028e-06
10349.pkl,1.9045772875945217e-06
10351.pkl,2.0677982853573445e-06
10352.pkl,1.3602867853915388e-06
10353.pkl,1.5688392548819042e-05
10354.pkl,3.144562928056837e-06
10355.pkl,7.407099581507145e-05
10360.pkl,3.962817075649939e-06
10363.pkl,0.000148945325380762
10364.pkl,1.6438634524405578e-06
10365.pkl,1.408362188806113e-06
10366.pkl,1.4054308240851693e-06
10367.pkl,1.4726077567612424e-05
10372.pkl,3.0308752296026723e-06
10373.pkl,1.5333584664223043e-06
10374.pkl,1.2699924482160949e-06
10375.pkl,2.287156235157685e-06
10376.pkl,0.000138047608764252
10377.pkl,5.5326836730811355e-06
10384.pkl,6.533705019070492e-06
10385.pkl,1.497185392098574e-06
10387.pkl,1.2943962883321914e-06
10388.pkl,1.5541231089751524e-06
10389.pkl,2.104870051330779e-06
1039.pkl,1.838296635440387e-06
10390.pkl,2.037117239719884e-06
10393.pkl,1.5742474714030655e-06
10394.pkl,0.0020846494863176
10395.pkl,0.06683080845759
10398.pkl,4.14727591735494e-06
10399.pkl,6.423576806363252e-06
1040.pkl,1.2087765489941936e-05
10400.pkl,1.5773139884831682e-06
10402.pkl,1.7364960624598475e-05
10403.pkl,4.506809719113833e-05
10404.pkl,1.7226096261842024e-06
10405.pkl,1.4093973521083374e-06
10406.pkl,8.399891564796046e-06
10409.pkl,0.0003717223253911074
10411.pkl,7.207891432980468e-05
10413.pkl,1.5645001410784696e-06
10414.pkl,1.9831421947925828e-06
10415.pkl,0.00010795744174839148
1042.pkl,4.055011068926187e-06
10422.pkl,0.000619962148729348
10424.pkl,3.1722572545369162e-06
10425.pkl,3.8550393273383545e-06
